X,Y,NUME,JUDET,JUDET AUTO,POPULATIE (in 2002),REGIUNE
23.6,45.85,Capalna,Alba,AB,942,Centru
23.71,46.37,Miraslau,Alba,AB,924,Centru
23.62,45.9,Rahau,Alba,AB,920,Centru
24.11,46.24,Capalna de Jos,Alba,AB,913,Centru
23.59,46.25,Geoagiu de Sus,Alba,AB,897,Centru
23.13,46.1,Almasu Mare,Alba,AB,890,Centru
23.63,46.16,Oiejdea,Alba,AB,886,Centru
23.93,46.41,Noslac,Alba,AB,884,Centru
23.97,46.14,Manarade,Alba,AB,865,Centru
23.89,46.06,Rosia de Secas,Alba,AB,851,Centru
23.64,46.35,Livezile,Alba,AB,843,Centru
23.77,46.17,Obreja,Alba,AB,809,Centru
22.88,46.46,Scarisoara,Alba,AB,791,Centru
24.17,46.2,Tatarlaua,Alba,AB,785,Centru
23.21,46.37,Lupsa,Alba,AB,767,Centru
23.56,46.42,Coltesti,Alba,AB,753,Centru
23.86,46.28,Ciuguzel,Alba,AB,749,Centru
23.41,45.93,Tartaria,Alba,AB,747,Centru
23.52,45.88,Rachita,Alba,AB,737,Centru
23.23,46.38,Valea Lupsii,Alba,AB,737,Centru
24.01,46.34,Farau,Alba,AB,736,Centru
23.76,46.38,Decea,Alba,AB,727,Centru
23.72,46.27,Radesti,Alba,AB,724,Centru
23.96,46.22,Panade,Alba,AB,716,Centru
23.79,46.07,Ohaba,Alba,AB,706,Centru
23.45,46.12,Ampoita,Alba,AB,700,Centru
23.72,46.03,Ghirbom,Alba,AB,696,Centru
23.75,46.01,Vingard,Alba,AB,696,Centru
23.42,46.4,Salciua de Jos,Alba,AB,689,Centru
23.52,46.05,Paclisa,Alba,AB,682,Centru
23.39,45.98,Blandiana,Alba,AB,673,Centru
23.75,46.19,Cistei,Alba,AB,671,Centru
23.74,46.08,Berghin,Alba,AB,652,Centru
23.81,46.38,Cisteiu de Mures,Alba,AB,643,Centru
23.57,46.45,Rametea,Alba,AB,640,Centru
23.36,45.94,Balomiru de Camp,Alba,AB,638,Centru
23.47,46.1,Tauti,Alba,AB,638,Centru
23.65,46.34,Magina,Alba,AB,628,Centru
23.4,46.39,Salciua de Sus,Alba,AB,627,Centru
23.79,46.31,Bagau,Alba,AB,623,Centru
23.84,45.97,Dostat,Alba,AB,623,Centru
23.03,46.26,Ciuruleasa,Alba,AB,618,Centru
23.55,45.86,Loman,Alba,AB,617,Centru
23.78,45.97,Spring,Alba,AB,607,Centru
23.63,46.06,Seusa,Alba,AB,606,Centru
23.72,45.93,Cunta,Alba,AB,597,Centru
23.15,46.15,Trampoiele,Alba,AB,593,Centru
23.17,46.36,Musca,Alba,AB,583,Centru
23.84,46.07,Tau,Alba,AB,582,Centru
23.72,46.35,Gambas,Alba,AB,578,Centru
23.74,45.94,Drasov,Alba,AB,573,Centru
23.66,46.11,Totoi,Alba,AB,561,Centru
23.59,46.24,Cetea,Alba,AB,559,Centru
24.07,46.11,Lunca,Alba,AB,553,Centru
23.82,46.25,Beta,Alba,AB,549,Centru
23.46,46.02,Valea Vintului,Alba,AB,546,Centru
23.96,46.43,Gura Ariesului,Alba,AB,542,Centru
23.44,46.43,Posaga de Jos,Alba,AB,542,Centru
23.59,45.79,Martinie,Alba,AB,536,Centru
22.97,46.45,Albac,Alba,AB,524,Centru
23.47,46.48,Ocolis,Alba,AB,519,Centru
23.28,46.08,Valea Mica,Alba,AB,517,Centru
23.63,45.86,Deal,Alba,AB,515,Centru
23.61,46.36,Poiana Aiudului,Alba,AB,515,Centru
23.59,46.21,Benic,Alba,AB,508,Centru
23.67,46.08,Hapria,Alba,AB,507,Centru
23.36,45.97,Acmariu,Alba,AB,503,Centru
23.73,46.11,Henig,Alba,AB,503,Centru
24.13,46.15,Tauni,Alba,AB,500,Centru
23.3,46.39,Sartas,Alba,AB,490,Centru
24.11,46.33,Silea,Alba,AB,490,Centru
23.17,46.15,Izvoru Ampoiului,Alba,AB,486,Centru
23.62,46.26,Geomal,Alba,AB,483,Centru
23.56,46.22,Galda de Sus,Alba,AB,467,Centru
23.58,45.87,Laz,Alba,AB,466,Centru
23.29,46.09,Galati,Alba,AB,465,Centru
23.67,46.26,Garbova de Jos,Alba,AB,464,Centru
22.9,46.51,Matisesti,Alba,AB,464,Centru
23.33,46.1,Presaca Ampoiului,Alba,AB,464,Centru
23.47,46,Vurpar,Alba,AB,464,Centru
23.99,46.22,Lunca Tarnavei,Alba,AB,458,Centru
23.6,45.74,Arti,Alba,AB,456,Centru
23.94,46.21,Iclod,Alba,AB,447,Centru
23.42,46.1,Metes,Alba,AB,444,Centru
23.56,46.2,Tibru,Alba,AB,441,Centru
23.14,46.39,Garde,Alba,AB,437,Centru
22.83,46.46,Garda de Sus,Alba,AB,431,Centru
23.61,46.05,Ciugud,Alba,AB,423,Centru
23.74,46.45,Mahaceni,Alba,AB,423,Centru
23.74,46.42,Ciugudu de Jos,Alba,AB,422,Centru
23.26,46.37,Muncelu,Alba,AB,421,Centru
23.66,46.38,Lopadea Veche,Alba,AB,417,Centru
23.58,45.68,Tau Bistra,Alba,AB,413,Centru
23.26,46.09,Patrangeni,Alba,AB,412,Centru
23.69,46.16,Coslariu,Alba,AB,409,Centru
23.69,46.07,Straja,Alba,AB,409,Centru
23.87,46.32,Hoparta,Alba,AB,407,Centru
23.66,46.14,Galtiu,Alba,AB,403,Centru
23.04,46.3,Daroaia,Alba,AB,402,Centru
23.06,46.32,Carpinis,Alba,AB,401,Centru
23.19,46.06,Cib,Alba,AB,401,Centru
23.94,46.41,Captalan,Alba,AB,396,Centru
23.77,46.44,Dumbrava,Alba,AB,387,Centru
23.49,45.83,Purcareti,Alba,AB,385,Centru
23.63,46.09,Teleac,Alba,AB,385,Centru
23.98,46.36,Heria,Alba,AB,383,Centru
23.94,46.08,Cergau Mic,Alba,AB,382,Centru
23.07,46.38,Valea Bistrii,Alba,AB,379,Centru
22.92,46.52,Darlesti,Alba,AB,378,Centru
23.53,46.19,Craiva,Alba,AB,376,Centru
23.97,46.1,Lupu,Alba,AB,375,Centru
24.05,46.31,Sanbenedic,Alba,AB,373,Centru
23.63,46.08,Drambar,Alba,AB,372,Centru
23.8,45.95,Boz,Alba,AB,371,Centru
23.73,46.21,Capud,Alba,AB,369,Centru
23.21,46.36,Hadarau,Alba,AB,364,Centru
23.92,46.31,Turdas,Alba,AB,361,Centru
23.73,46.25,Leorint,Alba,AB,359,Centru
23.13,46.29,Corna,Alba,AB,358,Centru
22.8,46.38,Tarsa,Alba,AB,358,Centru
23.62,46.29,Garbova de Sus,Alba,AB,357,Centru
23.31,46.49,Sagagea,Alba,AB,356,Centru
23.17,46.34,Lazuri,Alba,AB,350,Centru
23.83,46.02,Ungurei,Alba,AB,350,Centru
24.15,46.24,Santamarie,Alba,AB,348,Centru
23.81,46.1,Secasel,Alba,AB,344,Centru
23.54,46.4,Izvoarele,Alba,AB,337,Centru
23.39,46.09,Poiana Ampoiului,Alba,AB,337,Centru
23.79,46.37,Micoslaca,Alba,AB,336,Centru
24.01,46.41,Gabud,Alba,AB,335,Centru
23.66,45.83,Carpinis,Alba,AB,334,Centru
23.91,46.34,Spalnaca,Alba,AB,329,Centru
23.28,45.94,Bacainti,Alba,AB,322,Centru
23.09,46.4,Hodisesti,Alba,AB,322,Centru
23.07,46.41,Dealu Capsei,Alba,AB,318,Centru
22.96,46.46,Fata,Alba,AB,318,Centru
23.53,45.81,Tonea,Alba,AB,317,Centru
23.92,46.19,Petrisat,Alba,AB,316,Centru
23.32,46.4,Brazesti,Alba,AB,315,Centru
22.81,46.51,Ocoale,Alba,AB,310,Centru
23.32,46.38,Cioara de Sus,Alba,AB,303,Centru
23.57,45.76,Barsana,Alba,AB,302,Centru
23.71,46.43,Ciugudu de Sus,Alba,AB,296,Centru
22.95,46.5,Horea,Alba,AB,293,Centru
23.09,46.26,Gura Cornei,Alba,AB,291,Centru
23.6,46.04,Limba,Alba,AB,290,Centru
23.43,46.09,Valeni,Alba,AB,287,Centru
24,46.29,Alecus,Alba,AB,285,Centru
23.11,46.39,Ciuldesti,Alba,AB,284,Centru
23.74,46.22,Petelca,Alba,AB,280,Centru
23.56,46.39,Valisoara,Alba,AB,278,Centru
23.74,46.24,Mescreac,Alba,AB,277,Centru
24.07,46.12,Lodroman,Alba,AB,274,Centru
23.67,45.87,Reciu,Alba,AB,273,Centru
22.97,46.42,Dealu Frumos,Alba,AB,271,Centru
23.16,46.06,Glod,Alba,AB,271,Centru
23.79,46.39,Inoc,Alba,AB,271,Centru
23.38,46.46,Posaga de Sus,Alba,AB,268,Centru
23.12,46.39,Dealu Muntelui,Alba,AB,265,Centru
22.99,46.49,Dealu Lamasoi,Alba,AB,263,Centru
24.06,46.31,Medves,Alba,AB,263,Centru
23.03,46.28,Soharu,Alba,AB,263,Centru
23.22,46.14,Valtori,Alba,AB,261,Centru
23.68,46.4,Cicau,Alba,AB,260,Centru
23.31,45.94,Saracsau,Alba,AB,260,Centru
24.18,46.17,Craciunelu de Sus,Alba,AB,259,Centru
23.46,46.44,Lunca,Alba,AB,255,Centru
23.43,45.9,Salistea-Deal,Alba,AB,255,Centru
23.72,46.24,Beldiu,Alba,AB,249,Centru
23.06,46.33,Curaturi,Alba,AB,245,Centru
23.94,46.35,Vama Seaca,Alba,AB,243,Centru
22.74,46.49,Cobles,Alba,AB,240,Centru
23.11,46.07,Almasu de Mijloc,Alba,AB,238,Centru
23.19,46.16,Parau Gruiului,Alba,AB,238,Centru
23.98,46.42,Copand,Alba,AB,234,Centru
23.38,46.31,Geogel,Alba,AB,234,Centru
23.89,46.3,Asinip,Alba,AB,230,Centru
23.44,46.35,Vale In Jos,Alba,AB,229,Centru
23.71,45.97,Carpen,Alba,AB,227,Centru
23.15,46.08,Nadastia,Alba,AB,227,Centru
24.01,46.15,Glogovet,Alba,AB,226,Centru
23.01,46.34,Sohodol,Alba,AB,225,Centru
22.99,46.39,Necsesti,Alba,AB,221,Centru
23.11,46.36,Cretesti,Alba,AB,220,Centru
23.5,45.86,Strungari,Alba,AB,220,Centru
22.92,46.45,Stiuleti,Alba,AB,219,Centru
23.18,46.28,Valea Sesii,Alba,AB,219,Centru
23.88,46.34,Silivas,Alba,AB,218,Centru
24,46.43,Stana de Mures,Alba,AB,217,Centru
23.6,46.19,Mesentea,Alba,AB,216,Centru
23.37,46.21,Necrilesti,Alba,AB,215,Centru
22.76,46.49,Fata Cristesei,Alba,AB,211,Centru
22.99,46.46,Barasti,Alba,AB,209,Centru
23.17,46.37,Pitiga,Alba,AB,206,Centru
23.12,46.26,Bucium-Sat,Alba,AB,204,Centru
22.94,46.49,Fericet,Alba,AB,204,Centru
22.73,46.47,Galbena,Alba,AB,204,Centru
23.45,46.5,Runc,Alba,AB,203,Centru
23.03,46.35,Gura Sohodol,Alba,AB,202,Centru
22.86,46.41,Costesti,Alba,AB,201,Centru
23.43,45.99,Mereteu,Alba,AB,201,Centru
23.09,46.39,Lipaia,Alba,AB,198,Centru
23.09,46.32,Vartop,Alba,AB,198,Centru
23.02,46.22,Moraresti,Alba,AB,197,Centru
22.99,46.33,Bradeana,Alba,AB,196,Centru
22.89,46.48,Runc,Alba,AB,194,Centru
22.97,46.4,Vadu Motilor,Alba,AB,193,Centru
23.45,46.38,Sub Piatra,Alba,AB,192,Centru
22.98,46.52,Patrusesti,Alba,AB,190,Centru
22.88,46.4,Poiana Vadului,Alba,AB,190,Centru
23.4,46.37,Valea Larga,Alba,AB,188,Centru
23.07,46.36,Varsi,Alba,AB,187,Centru
23.39,46.14,Lunca Ampoitei,Alba,AB,186,Centru
23.03,46.37,Mihoesti,Alba,AB,186,Centru
22.96,46.36,Valea Morii,Alba,AB,184,Centru
22.86,46.51,Negesti,Alba,AB,183,Centru
23.24,46.28,Poienile-Mogos,Alba,AB,183,Centru
22.83,46.41,Pastesti,Alba,AB,182,Centru
23.02,46.39,Floresti,Alba,AB,179,Centru
23.01,46.23,Matisesti,Alba,AB,179,Centru
22.77,46.46,Dealu Bajului,Alba,AB,178,Centru
22.83,46.36,Avram Iancu,Alba,AB,177,Centru
22.84,46.4,Fagetu de Sus,Alba,AB,177,Centru
22.94,46.44,Dupa Plese,Alba,AB,174,Centru
23.02,46.36,Lazuri,Alba,AB,174,Centru
23.53,46.24,Poiana Galdei,Alba,AB,174,Centru
23.13,46.31,Tarina,Alba,AB,172,Centru
23.25,46.09,Suseni,Alba,AB,168,Centru
23.21,46.35,Vai,Alba,AB,168,Centru
22.88,46.41,Stanesti,Alba,AB,166,Centru
23.07,46.36,Boncesti,Alba,AB,165,Centru
23.75,46.34,Pagida,Alba,AB,165,Centru
23.64,46.28,Garbovita,Alba,AB,164,Centru
23.16,46.14,Pirita,Alba,AB,163,Centru
22.99,46.41,Bodesti,Alba,AB,162,Centru
23.34,46.45,Orasti,Alba,AB,162,Centru
22.96,46.41,Poduri-Bricesti,Alba,AB,162,Centru
23.06,46.35,Fata Abrudului,Alba,AB,161,Centru
23.52,46.48,Vidolm,Alba,AB,161,Centru
23.42,46.25,Modolesti,Alba,AB,160,Centru
23.45,46.04,Inuri,Alba,AB,159,Centru
22.94,46.41,Popestii de Sus,Alba,AB,159,Centru
23.01,46.38,Botesti,Alba,AB,158,Centru
23.28,46.28,Mogos,Alba,AB,158,Centru
23.4,46.34,Ponor,Alba,AB,158,Centru
23.52,46.3,Valea Manastirii,Alba,AB,158,Centru
23.01,46.26,Boglesti,Alba,AB,156,Centru
23.05,46.4,Dric,Alba,AB,154,Centru
23.1,46.37,Lunca Merilor,Alba,AB,154,Centru
23.13,46.41,Trisoresti,Alba,AB,154,Centru
23.45,45.82,Mugesti,Alba,AB,152,Centru
23.05,46.35,Poduri,Alba,AB,152,Centru
22.91,46.49,Costesti,Alba,AB,150,Centru
23.13,46.39,Ganesti,Alba,AB,150,Centru
22.82,46.44,Plai,Alba,AB,150,Centru
23.58,45.8,Plesi,Alba,AB,150,Centru
23.29,46.26,Barlesti,Alba,AB,149,Centru
22.81,46.48,Garda Seaca,Alba,AB,149,Centru
23.14,46.26,Valea Abruzel,Alba,AB,146,Centru
23.1,46.39,Hudricesti,Alba,AB,145,Centru
23.01,46.34,Bilanesti,Alba,AB,144,Centru
22.78,46.47,Fata Lapusului,Alba,AB,144,Centru
23.04,46.23,Buninginea,Alba,AB,143,Centru
22.72,46.48,Izlaz,Alba,AB,143,Centru
23.21,46.25,Poieni,Alba,AB,143,Centru
23.01,46.41,Borlesti,Alba,AB,141,Centru
23.4,45.79,Bucuru,Alba,AB,141,Centru
23.06,46.31,Coasta Hentii,Alba,AB,141,Centru
23.03,46.4,Valea Caselor,Alba,AB,141,Centru
23.45,46,Campu Goblii,Alba,AB,140,Centru
23.55,46.33,Cotorasti,Alba,AB,139,Centru
23.68,46.1,Dumitra,Alba,AB,138,Centru
23.59,45.72,Jidostina,Alba,AB,138,Centru
22.95,46.36,Plescuta,Alba,AB,137,Centru
23.34,46.27,Valea Barnii,Alba,AB,137,Centru
23.05,46.41,Coasta Vascului,Alba,AB,133,Centru
23.22,46.24,Valea Negrilesii,Alba,AB,133,Centru
23.39,46.38,Dealu Caselor,Alba,AB,132,Centru
23.22,46.38,Lunca,Alba,AB,131,Centru
22.93,46.41,Tomutesti,Alba,AB,131,Centru
23.33,46.24,Ghioncani,Alba,AB,130,Centru
23.37,46.14,Lunca Metesului,Alba,AB,130,Centru
23.72,46.4,Ormenis,Alba,AB,127,Centru
23.49,46.01,Parau lui Mihai,Alba,AB,127,Centru
23.11,46.25,Cerbu,Alba,AB,126,Centru
22.82,46.49,Ghetari,Alba,AB,126,Centru
22.86,46.4,Duduieni,Alba,AB,125,Centru
23.44,46.31,Dupa Deal,Alba,AB,125,Centru
23.13,46.38,Lunca Larga,Alba,AB,125,Centru
22.77,46.43,Biharia,Alba,AB,124,Centru
23.41,46.24,Intregalde,Alba,AB,124,Centru
22.78,46.48,Pantesti,Alba,AB,124,Centru
23.06,46.38,Dealu Bistrii,Alba,AB,122,Centru
23.44,45.83,Calene,Alba,AB,121,Centru
22.94,46.33,Luminesti,Alba,AB,120,Centru
23.09,46.41,Ratitis,Alba,AB,120,Centru
22.79,46.45,Snide,Alba,AB,120,Centru
23.18,46.26,Bucium,Alba,AB,119,Centru
22.99,46.47,Cionesti,Alba,AB,119,Centru
22.91,46.4,Fagetu de Jos,Alba,AB,119,Centru
23.35,45.81,Feteni,Alba,AB,119,Centru
22.9,46.48,Lespezea,Alba,AB,119,Centru
23.07,46.33,Soal,Alba,AB,119,Centru
22.84,46.37,Dolesti,Alba,AB,118,Centru
22.86,46.43,Fata-Lazesti,Alba,AB,118,Centru
22.91,46.42,Lazesti,Alba,AB,117,Centru
23.21,46.25,Valea Alba,Alba,AB,117,Centru
23.51,46.33,Valea Inzelului,Alba,AB,117,Centru
23.09,46.36,Dandut,Alba,AB,116,Centru
23.6,45.88,Dumbrava,Alba,AB,116,Centru
22.85,46.39,Hanasesti,Alba,AB,116,Centru
23.39,46.23,Ivanis,Alba,AB,116,Centru
23.43,46.53,Lunca Larga,Alba,AB,116,Centru
23.1,46.44,Poiana,Alba,AB,116,Centru
23.69,46.26,Tifra,Alba,AB,116,Centru
22.97,46.48,Budaiesti,Alba,AB,115,Centru
23.15,46.18,Botesti,Alba,AB,113,Centru
22.79,46.4,Calugaresti,Alba,AB,113,Centru
23.43,46.28,Dealu Geoagiului,Alba,AB,112,Centru
22.83,46.48,Hanasesti,Alba,AB,112,Centru
22.96,46.43,Rogoz,Alba,AB,112,Centru
22.97,46.24,Vulcan,Alba,AB,112,Centru
23.43,46.37,Dumesti,Alba,AB,111,Centru
23.52,46.29,Fata Pietrii,Alba,AB,111,Centru
22.84,46.45,Huzaresti,Alba,AB,111,Centru
23.28,46.23,Valea Mlacii,Alba,AB,111,Centru
22.96,46.4,Popestii de Jos,Alba,AB,110,Centru
23.94,46.14,Spatac,Alba,AB,110,Centru
23.12,46.35,Varsii Mici,Alba,AB,110,Centru
22.98,46.37,Dragoiesti-Lunca,Alba,AB,109,Centru
23.47,46,Valea Goblii,Alba,AB,109,Centru
22.93,46.39,Haiducesti,Alba,AB,108,Centru
23.04,46.38,Motorasti,Alba,AB,108,Centru
22.93,46.53,Trifesti,Alba,AB,108,Centru
23.12,46.33,Garda-Barbulesti,Alba,AB,107,Centru
22.85,46.52,Sfoartea,Alba,AB,107,Centru
23.06,46.31,Gura Rosiei,Alba,AB,106,Centru
22.83,46.34,Vidrisoara,Alba,AB,106,Centru
22.76,46.48,Arieseni,Alba,AB,104,Centru
22.95,46.52,Giurgiut,Alba,AB,104,Centru
23.51,46.31,Valea Uzei,Alba,AB,104,Centru
23.09,46.3,Blidesti,Alba,AB,103,Centru
22.83,46.49,Dealu Frumos,Alba,AB,103,Centru
23.08,46.31,Ignatesti,Alba,AB,102,Centru
22.98,46.34,Hoanca,Alba,AB,101,Centru
23.07,46.24,Ghedulesti,Alba,AB,100,Centru
23.42,45.91,Margineni,Alba,AB,100,Centru
22.85,46.49,Preluca,Alba,AB,100,Centru
22.79,46.38,Verdesti,Alba,AB,100,Centru
23.51,45.84,Plaiuri,Alba,AB,99,Centru
23.79,46.23,Soimus,Alba,AB,99,Centru
23.03,46.41,Certege,Alba,AB,97,Centru
23.08,46.34,Furduiesti,Alba,AB,96,Centru
22.83,46.42,Petelei,Alba,AB,96,Centru
23.68,46.18,Coslariu Nou,Alba,AB,95,Centru
24.17,46.15,Faget,Alba,AB,95,Centru
22.98,46.51,Preluca,Alba,AB,95,Centru
22.71,46.51,Bubesti,Alba,AB,94,Centru
23.02,46.34,Vladosesti,Alba,AB,94,Centru
22.81,46.36,Cocesti,Alba,AB,93,Centru
23.79,46.11,Colibi,Alba,AB,93,Centru
23.47,46.35,Valea Poienii,Alba,AB,93,Centru
23.16,46.34,Dupa Deal,Alba,AB,92,Centru
22.84,46.47,Mununa,Alba,AB,92,Centru
23.1,46.25,Anghelesti,Alba,AB,91,Centru
22.95,46.38,Culdesti,Alba,AB,91,Centru
22.75,46.47,Stei-Arieseni,Alba,AB,91,Centru
23.99,46.41,Valea Ciuciului,Alba,AB,91,Centru
23.3,46.28,Cristesti,Alba,AB,90,Centru
22.92,46.39,Dealu Goiesti,Alba,AB,89,Centru
22.96,46.37,Dos,Alba,AB,89,Centru
23.12,46.24,Valea Cerbului,Alba,AB,89,Centru
23.13,46.19,Budeni,Alba,AB,88,Centru
22.94,46.51,Butesti,Alba,AB,88,Centru
23.27,45.97,Ceru-Bacainti,Alba,AB,88,Centru
23.84,46.26,Odverem,Alba,AB,88,Centru
22.93,46.44,Potionci,Alba,AB,88,Centru
23.31,46.22,Sfarcea,Alba,AB,88,Centru
23.43,45.77,Bocsitura,Alba,AB,87,Centru
22.96,46.49,Mancesti,Alba,AB,87,Centru
22.99,46.38,Runc,Alba,AB,87,Centru
23.23,46.32,Vinta,Alba,AB,87,Centru
23.1,46.42,Balesti-Catun,Alba,AB,85,Centru
22.94,46.38,Lunca Vesesti,Alba,AB,85,Centru
23.17,46.38,Manastire,Alba,AB,85,Centru
22.88,46.36,Nemesi,Alba,AB,85,Centru
23.01,46.45,Tomusesti,Alba,AB,85,Centru
23.1,46.43,Durasti,Alba,AB,84,Centru
22.74,46.45,Patrahaitesti,Alba,AB,83,Centru
22.92,46.38,Goiesti,Alba,AB,82,Centru
22.96,46.53,Zanzesti,Alba,AB,82,Centru
23.13,46.36,Barlesti,Alba,AB,81,Centru
23.24,46.38,Valea Sesii,Alba,AB,81,Centru
23.2,46.36,Posogani,Alba,AB,80,Centru
23.14,46.25,Coleseni,Alba,AB,79,Centru
23,46.37,Bobaresti,Alba,AB,78,Centru
22.88,46.37,Lunca Bisericii,Alba,AB,78,Centru
22.98,46.51,Teiu,Alba,AB,78,Centru
23.37,46.32,Valea Bucurului,Alba,AB,78,Centru
22.98,46.3,Lehesti,Alba,AB,77,Centru
22.94,46.38,Oidesti,Alba,AB,77,Centru
22.99,46.37,Puiuletesti,Alba,AB,76,Centru
22.99,46.35,Sebisesti,Alba,AB,76,Centru
22.91,46.38,Lunca Goiesti,Alba,AB,75,Centru
22.8,46.38,Orgesti,Alba,AB,75,Centru
22.77,46.4,Plai,Alba,AB,75,Centru
22.8,46.47,Sturu,Alba,AB,75,Centru
22.86,46.36,Incesti,Alba,AB,74,Centru
22.98,46.34,Peles,Alba,AB,74,Centru
23.14,46.24,Izbita,Alba,AB,73,Centru
23.13,46.4,Namas,Alba,AB,73,Centru
23.37,46.28,Cojocani,Alba,AB,72,Centru
22.94,46.4,Valtori,Alba,AB,72,Centru
22.93,46.45,Plesesti,Alba,AB,71,Centru
22.96,46.48,Rusesti,Alba,AB,71,Centru
22.8,46.44,Sucesti,Alba,AB,71,Centru
23.08,46.42,Dambureni,Alba,AB,70,Centru
22.77,46.52,Hodobana,Alba,AB,69,Centru
22.84,46.46,Izvoarele,Alba,AB,69,Centru
22.94,46.54,Petreasa,Alba,AB,69,Centru
23.48,46.27,Tecsesti,Alba,AB,69,Centru
23.26,46.26,Valea Tupilor,Alba,AB,69,Centru
23.01,46.37,Burzonesti,Alba,AB,68,Centru
23.19,46.26,Ciuculesti,Alba,AB,68,Centru
23.49,46.04,Criseni,Alba,AB,68,Centru
23.26,45.99,Cucuta,Alba,AB,68,Centru
22.88,46.43,Matei,Alba,AB,68,Centru
23,46.31,Simocesti,Alba,AB,68,Centru
23.49,46.03,Stauini,Alba,AB,68,Centru
22.82,46.47,Dobresti,Alba,AB,67,Centru
22.86,46.36,Martesti,Alba,AB,67,Centru
22.73,46.51,Poienita,Alba,AB,67,Centru
23.49,46.1,Padurea,Alba,AB,66,Centru
23.11,46.21,Rusi,Alba,AB,66,Centru
